politician_name,office_title,committee_name,external_id,decision,reason
"John Gaylor","Indiana Elected Official","Friends 4 JR Gaylor","7357","confirm","lastName ""Gaylor"" in committee name with signal word"
"John Hurley","Indiana Elected Official","Hoosiers 4 Hurley","7000","confirm","lastName ""Hurley"" in committee name with signal word"
"John Moton","Indiana Elected Official","Friends of John Moton","7613","confirm","lastName ""Moton"" in committee name with signal word"
"John Schmitz","Indiana Elected Official","SchmitzHouse97","7399","confirm","lastName ""Schmitz"" in committee name with signal word"
"John Stoffel","Indiana Elected Official","Friends of John Stoffel","7325","confirm","lastName ""Stoffel"" in committee name with signal word"
"John Westercamp","Indiana Elected Official","Friends of John Westercamp, LLC","7220","confirm","lastName ""Westercamp"" in committee name with signal word"
"Johnny Nugent","Indiana Elected Official","JOHNNY NUGENT VICTORY TEAM","668","confirm","lastName ""Nugent"" in committee name with signal word"
"Justin Busch","Indiana Elected Official","Friends of Justin Busch","7253","confirm","lastName ""Busch"" in committee name with signal word"
"Justin Oakley","Indiana Elected Official","Justin Oakley 2012","6230","ambiguous","lastName ""Oakley"" in committee name but no signal word found"
"Kenneth Lave","Indiana Elected Official","Sending Jasen Lave To The Indiana State House 2020","7227","confirm","lastName ""Lave"" in committee name with signal word"
"Kent Abernathy","Indiana Elected Official","Friends of Kent Abernathy","7588","confirm","lastName ""Abernathy"" in committee name with signal word"
"Kerry Thomson","City Mayor","","","ambiguous","no committee name in notes"
"Kristi Risk","Indiana Elected Official","Friends of Kristi Risk","8117","confirm","lastName ""Risk"" in committee name with signal word"
"Kyle Miller","Indiana Elected Official","Friends of Kyle Miller","7030","confirm","lastName ""Miller"" in committee name with signal word"
"Lana Keesling","Indiana Elected Official","Friends of Lana  Keesling","7548","confirm","lastName ""Keesling"" in committee name with signal word"
"Laura Davis","Indiana Elected Official","Friends of Michelle Davis","7341","confirm","lastName ""Davis"" in committee name with signal word"
"Leah Mcgrath","Indiana Elected Official","Friends of Leah McGrath","7301","confirm","lastName ""Mcgrath"" in committee name with signal word"
"Lori Goss-reaves","Indiana Elected Official","Friends of Lori Goss-Reaves","7797","confirm","lastName ""Goss-reaves"" in committee name with signal word"
"Lorissa Sweet","Indiana Elected Official","Friends of Lorissa Sweet","7578","confirm","lastName ""Sweet"" in committee name with signal word"
"Mark Genda","Indiana Elected Official","Friends of Mark Genda","7648","confirm","lastName ""Genda"" in committee name with signal word"
"Mark Hinton","Indiana Elected Official","Friends of Mark Hinton","7022","confirm","lastName ""Hinton"" in committee name with signal word"
"Mark Messmer","U.S. House of Representatives - Indiana 8th Congressional District","Markmessmer.com","5545","ambiguous","lastName ""Messmer"" in committee name but no signal word found"
"Martin Carbaugh","Indiana Elected Official","VoteCarbaugh.com","6271","confirm","lastName ""Carbaugh"" in committee name with signal word"
"Matthew Hostettler","Indiana Elected Official","Friends of Matt Hostettler","7032","confirm","lastName ""Hostettler"" in committee name with signal word"
"Matthew Whetstone","Indiana Elected Official","Friends of Matt Whetstone","7679","confirm","lastName ""Whetstone"" in committee name with signal word"
"Melissa Rinehart","Indiana Elected Official","Friends of Melissa Rinehart","7541","confirm","lastName ""Rinehart"" in committee name with signal word"
"Michael Bienz","Indiana Elected Official","Friends of Michael Bienz","7352","confirm","lastName ""Bienz"" in committee name with signal word"
"Michael Griffin","State Senator","CTE Michael W. Griffin to the INDIANA STATE SENATE District 1","7634","confirm","lastName ""Griffin"" in committee name with signal word"
"Michael Potter","Indiana Elected Official","Friends of Michael Potter","7928","confirm","lastName ""Potter"" in committee name with signal word"
"Michelle Higgs","Indiana Elected Official","Friends of Michelle Higgs","7909","confirm","lastName ""Higgs"" in committee name with signal word"
"Nansi Custer","Indiana Elected Official","Friends of Nansi Custer","7655","confirm","lastName ""Custer"" in committee name with signal word"
"Nathan Ranke","Indiana Elected Official","nathanranke4hoosiers","7839","confirm","lastName ""Ranke"" in committee name with signal word"
"Pamela Fish","Indiana Elected Official","Friends of Pam Fish","6769","confirm","lastName ""Fish"" in committee name with signal word"
"Philip Gift","Indiana Elected Official","Friends of Phil Gift","7789","confirm","lastName ""Gift"" in committee name with signal word"
"R Griffin","Indiana Elected Official","Friends of Mike Griffin","7375","confirm","lastName ""Griffin"" in committee name with signal word"
"R Young","Indiana Elected Official","Richard Young","1907","ambiguous","lastName ""Young"" in committee name but no signal word found"
"Randall Frye","Indiana Elected Official","Friends of Randy Frye","5942","confirm","lastName ""Frye"" in committee name with signal word"
