politician_id,full_name,topic_key,verdict,on_axis,off_axis,non_operative,best_role,best_bill,best_introduced,best_title
e7c985f0-7804-485e-8ad7-8e71c0129a00,Andy Kim,border-security,off-axis-only,0,3,0,,,,
e89abbed-b93c-4a07-a1b1-fe33060ebec7,John Fetterman,border-security,non-operative-only,0,0,1,,,,
eaab08fa-c93d-44de-ad8e-06275658dddc,Chris Coons,border-security,off-axis-only,0,1,0,,,,
ebe10065-0025-46e5-897e-7a81e4c77ecf,Elissa Slotkin,border-security,off-axis-only,0,3,0,,,,
ec0aeea4-afb2-46b1-be2c-c226188cfbaa,Maggie Hassan,border-security,off-axis-only,0,9,0,,,,
eff33c8a-38f6-421f-a8de-24518c52d650,Bill Cassidy,border-security,settleable,1,8,2,cosponsor,S. 348,2023-02-09,Asylum Abuse Reduction Act
f1271c9d-fad4-4e1e-9c22-e6e2333a8a3e,Thom Tillis,border-security,settleable,3,9,3,cosponsor,S. 112,2025-01-16,Make the Migrant Protection Protocols Mandatory Act of 2025
f6c97c43-41e3-45ae-bdaa-c339f2e6ed4d,Ashley Moody,border-security,off-axis-only,0,2,0,,,,
f8d6555b-faea-4746-b8d8-27c41e08f4c4,Mitch McConnell,border-security,settleable,1,1,0,cosponsor,S. 2824,2023-09-14,Secure the Border Act of 2023
f9abc9e1-e1d5-4cd9-9983-a403dc94a5fc,Lisa Blunt Rochester,border-security,non-operative-only,0,0,1,,,,
faf86b5b-5add-4afb-a8e2-96b3e8be4b78,Edward J. Markey,border-security,off-axis-only,0,6,2,,,,
ffe3816f-4923-4e10-b71c-8b2590a8f377,John Kennedy,border-security,settleable,1,4,2,cosponsor,S. 2824,2023-09-14,Secure the Border Act of 2023
