cd,geo_id,race_id,full_name,party_from_field,decision,target_politician_id,assign_external_id,is_incumbent,source_url
14,4814,5b04befe-6ecf-4483-ac2a-564778cecf22,Thurman Bartie,Democratic,NEW,,-4811401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_14
15,4815,7f41e478-86b6-489c-bf7d-9b4d655b8100,Monica De La Cruz,Republican,REUSE,,-100315,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_15
15,4815,7f41e478-86b6-489c-bf7d-9b4d655b8100,Bobby Pulido,Democratic,NEW,,-4811501,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_15
16,4816,8124ea17-ccb4-4b76-a4dd-3c31a493f35a,Veronica Escobar,Democratic,REUSE,,-100316,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_16
16,4816,8124ea17-ccb4-4b76-a4dd-3c31a493f35a,Adam Bauman,Republican,NEW,,-4811601,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_16
17,4817,b6c2e0bd-e4c5-459c-b505-6d60a55bc8a1,Pete Sessions,Republican,REUSE,,-100317,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_17
17,4817,b6c2e0bd-e4c5-459c-b505-6d60a55bc8a1,Casey Shepard,Democratic,NEW,,-4811701,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_17
18,4818,85a70c63-1305-45b5-9824-4f65c8b79f6a,Christian Menefee,Democratic,REUSE,,-100318,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_18
18,4818,85a70c63-1305-45b5-9824-4f65c8b79f6a,Ronald Whitfield,Republican,NEW,,-4811801,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_18
19,4819,aad5f023-705d-4432-9185-07d8ea0268f0,Tom Sell,Republican,NEW,,-4811901,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_19
19,4819,aad5f023-705d-4432-9185-07d8ea0268f0,Kyle Rable,Democratic,NEW,,-4811902,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_19
20,4820,f1a24132-f288-4716-8995-08896825674d,Joaquin Castro,Democratic,REUSE,,-100320,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_20
20,4820,f1a24132-f288-4716-8995-08896825674d,Edgardo Baez,Republican,NEW,,-4812001,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_20
21,4821,71e280a7-0ec9-4d19-80cc-7798b305a36b,Mark Teixeira,Republican,NEW,,-4812101,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_21
21,4821,71e280a7-0ec9-4d19-80cc-7798b305a36b,Kristin Hook,Democratic,NEW,,-4812102,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_21
22,4822,ef2f9063-233b-4a2a-8ded-fea5094cdc98,Troy Nehls,Republican,REUSE,,-100322,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_22
22,4822,ef2f9063-233b-4a2a-8ded-fea5094cdc98,Marquette Greene-Scott,Democratic,NEW,,-4812201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_22
23,4823,78fd8f9d-9ca6-473a-be0b-07d6cce916ec,Brandon Herrera,Republican,NEW,,-4812301,false,https://www.cbsnews.com/news/tony-gonzales-drops-out-of-house-runoff-race-after-admitting-affair-with-aide/
23,4823,78fd8f9d-9ca6-473a-be0b-07d6cce916ec,Katy Padilla Stout,Democratic,NEW,,-4812302,false,https://www.cbsnews.com/news/tony-gonzales-drops-out-of-house-runoff-race-after-admitting-affair-with-aide/
24,4824,f506ed58-7ea3-4284-b891-5ee5bbaeb9dd,Beth Van Duyne,Republican,REUSE,,-100324,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_24
24,4824,f506ed58-7ea3-4284-b891-5ee5bbaeb9dd,Kevin Burge,Democratic,NEW,,-4812401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_24
25,4825,d438d09a-321b-42a0-b92d-31925704a5fc,Roger Williams,Republican,REUSE,,-100325,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_25
25,4825,d438d09a-321b-42a0-b92d-31925704a5fc,Dione Sims,Democratic,NEW,,-4812501,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_25
26,4826,7124e03f-9f72-424b-8312-aa23564e7ef8,Brandon Gill,Republican,REUSE,,-100326,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_26
26,4826,7124e03f-9f72-424b-8312-aa23564e7ef8,Steven Shook,Democratic,NEW,,-4812601,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_26
27,4827,b56bcde8-0686-4970-a05b-4234477f32b8,Michael Cloud,Republican,REUSE,,-100327,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_27
27,4827,b56bcde8-0686-4970-a05b-4234477f32b8,Tanya Lloyd,Democratic,NEW,,-4812701,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_27
28,4828,bfaf1f49-e9a6-46df-b6af-9b632f43da66,Henry Cuellar,Democratic,REUSE,,-100328,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_28
28,4828,bfaf1f49-e9a6-46df-b6af-9b632f43da66,Tano Tijerina,Republican,NEW,,-4812801,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_28
29,4829,7e2bfe3b-81c9-4114-b751-b81449df488d,Sylvia Garcia,Democratic,REUSE,,-100329,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_29
29,4829,7e2bfe3b-81c9-4114-b751-b81449df488d,Martha Fierro,Republican,NEW,,-4812901,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_29
30,4830,c7bc3023-6936-42da-a618-3f683f4c8a3b,Frederick Haynes III,Democratic,NEW,,-4813001,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas#District_30
